City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Colon,PA,78.37,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
2,Bengkulu,ID,84.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3,Derzhavinsk,KZ,79.66,scattered clouds,51.1,66.3167,Ooo.khim Baza
4,Butaritari,KI,82.54,light rain,3.0707,172.7902,Isles Sunset Lodge
5,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Hithadhoo,MV,82.78,heavy intensity rain,-0.6,73.0833,Scoop Guest House
11,Candolim,IN,80.6,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
12,Banepa,NP,80.92,few clouds,27.6298,85.5214,Dhulikhel Lodge Resort
14,Xining,CN,78.8,broken clouds,36.6167,101.7667,Super Leisure Hotel
25,Yankton,US,78.12,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
30,Magaria,NE,80.49,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
33,Yushu,CN,78.58,scattered clouds,44.8,126.5333,Honorable Institute
35,Vao,NC,76.82,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
38,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Norman Wells,CA,75.24,smoke,65.282,-126.8329,Heritage Hotel
40,Eunice,US,82.98,scattered clouds,30.4944,-92.4176,"Holiday Inn Express Eunice, an IHG Hotel"
43,Erenhot,CN,85.62,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
49,Daru,PG,78.91,broken clouds,-9.0763,143.2092,Daru Lodge
58,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Hilton Head Island,US,75.97,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
60,Misratah,LY,79.02,clear sky,32.3754,15.0925,Almasa Hotel
65,Samarai,PG,83.21,scattered clouds,-10.6167,150.6667,Nuli Sapi
70,Katsuura,JP,78.62,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
72,Sur,OM,83.12,light rain,22.5667,59.5289,Sur Plaza Hotel
78,Gorontalo,ID,81.73,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
81,Shache,CN,89.1,overcast clouds,38.4167,77.2406,Delong Hotel
82,Tateyama,JP,77.72,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
83,Petatlan,MX,78.53,broken clouds,17.5167,-101.2667,Hotel California Petatlán
86,Sampit,ID,85.96,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
94,Baruun-Urt,MN,77.11,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
95,Ust-Ilimsk,RU,77.11,broken clouds,58.0006,102.6619,AleNat Center
96,Komsomolskiy,UZ,84.92,broken clouds,40.4272,71.7189,Ikathouse
109,Mareeba,AU,75.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
111,Nieuw Amsterdam,SR,77.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
123,Pierre,US,79.86,clear sky,44.3683,-100.351,Ramkota Hotel
128,Labuhan,ID,85.91,few clouds,-6.8844,112.2051,DoubleFAG
130,Atuona,PF,77.67,few clouds,-9.8,-139.0333,Villa Enata
132,Marawi,PH,75.96,overcast clouds,7.9986,124.2928,Derogongan Residence
134,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
135,Georgetown,MY,87.75,heavy intensity rain,5.4112,100.3354,Cititel Penang
137,Dongsheng,CN,80.29,clear sky,39.8161,109.9776,Crowne Plaza Ordos
140,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
141,Linxia,CN,87.12,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
144,Bull Savanna,JM,76.05,overcast clouds,17.8868,-77.5902,Big Red's
146,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
148,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
150,Cabo San Lucas,MX,86.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
152,Dothan,US,75.4,broken clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
153,Olinda,BR,76.73,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
156,Akhmeta,GE,79.32,broken clouds,42.0311,45.2075,Hostel Kakheti
159,Pasni,PK,84.16,scattered clouds,25.2631,63.471,Kashmiri Hotal
163,Trairi,BR,75.56,broken clouds,-3.2778,-39.2689,janelas do mar
164,Katherine,AU,77.32,clear sky,-14.4667,132.2667,Pine Tree Motel
170,Les Cayes,HT,77.5,overcast clouds,18.2,-73.75,Villa Orphee
171,Wanning,CN,84.49,overcast clouds,18.8003,110.3967,Paradise Hotel
173,Honiara,SB,83.26,broken clouds,-9.4333,159.95,Heritage Park Hotel
177,Kyshtovka,RU,79.68,scattered clouds,56.555,76.6271,Uyutnaya Mini-Hotel
180,Hasaki,JP,88.2,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
183,Siocon,PH,79.56,overcast clouds,7.7061,122.1353,ABS Hotel
193,Kilindoni,TZ,75.27,light rain,-7.9139,39.6668,Bustani B&B
194,Tevriz,RU,83.95,broken clouds,57.509,72.4042,Postoyalyy Dvor
199,Faanui,PF,78.3,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
202,Boysun,UZ,85.64,clear sky,38.2061,67.1986,Gaza Hotel
209,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
212,Lorengau,PG,84.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,Laguna,US,76.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
224,Ararat,AM,80.94,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
225,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
227,Tigil,RU,77.86,scattered clouds,57.8,158.6667,Tigil'
228,Sinnamary,GF,75.38,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
230,Acarau,BR,77.32,overcast clouds,-2.8856,-40.12,castelo pizzaria
231,Dingle,PH,84.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
233,Qui Nhon,VN,88.16,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
237,Kieta,PG,83.75,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
238,Canon City,US,80.01,clear sky,38.441,-105.2424,Travel Inn Motel
240,Bilma,NE,86.22,clear sky,18.6853,12.9164,Expeditions Ténére voyages
246,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
247,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
251,Shingu,JP,82.56,broken clouds,33.7333,135.9833,Shingu UI Hotel
255,Porto Novo,BJ,76.82,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
257,Paliyad,IN,84.49,overcast clouds,22.25,71.5667,આપણું બોટાદ
258,Aleksandrov Gay,RU,86.76,few clouds,50.147,48.5704,Gostinitsa
260,Pringsewu,ID,85.95,scattered clouds,-5.3582,104.9744,Urban Style by Front One
268,Baytown,US,87.24,few clouds,29.7355,-94.9774,Econo Lodge
273,Felanitx,ES,76.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
275,Acapulco,MX,78.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
280,Tymovskoye,RU,81.88,scattered clouds,50.8456,142.655,"Gostinitsa ""Domashnyaya"""
282,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
287,Raychikhinsk,RU,76.59,scattered clouds,49.7838,129.4121,pioneer house
