City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Colon,PA,9.3592,-79.9014,78.37,88,100,1.9,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,42.96,90,98,3.71,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,84.07,62,86,9.84,overcast clouds
3,Derzhavinsk,KZ,51.1,66.3167,79.66,39,38,12.08,scattered clouds
4,Butaritari,KI,3.0707,172.7902,82.54,77,29,15.39,light rain
5,Vaini,TO,-21.2,-175.2,75.36,83,40,9.22,scattered clouds
6,Hithadhoo,MV,-0.6,73.0833,82.78,74,94,6.04,heavy intensity rain
7,Sechura,PE,-5.5569,-80.8222,62.64,80,93,11.65,overcast clouds
8,Lebu,CL,-37.6167,-73.65,47.01,86,28,8.63,scattered clouds
9,Brunico,IT,46.7958,11.9364,65.66,68,48,2.33,scattered clouds
10,Albany,US,42.6001,-73.9662,57.16,81,1,4.54,clear sky
11,Candolim,IN,15.5181,73.7626,80.6,89,100,8.05,overcast clouds
12,Banepa,NP,27.6298,85.5214,80.92,61,20,2.3,few clouds
13,Tiksi,RU,71.6872,128.8694,58.15,47,81,6.85,broken clouds
14,Xining,CN,36.6167,101.7667,78.8,41,80,11.39,broken clouds
15,Khatanga,RU,71.9667,102.5,52.56,72,100,9.17,overcast clouds
16,Port Alfred,ZA,-33.5906,26.891,59.18,84,18,1.99,few clouds
17,Castro,BR,-24.7911,-50.0119,52.03,88,56,4.29,broken clouds
18,Kaka,TM,37.3482,59.6143,91.0,14,0,5.79,clear sky
19,Hermanus,ZA,-34.4187,19.2345,47.8,77,67,2.77,light rain
20,Punta Arenas,CL,-53.15,-70.9167,24.91,80,20,9.22,few clouds
21,Yaan,NG,7.3833,8.5667,71.49,97,100,4.85,overcast clouds
22,Tougue,GN,11.4667,-11.6,67.62,95,100,2.37,light rain
23,Opuwo,NA,-18.0607,13.84,52.39,65,0,3.74,clear sky
24,Jamestown,US,42.097,-79.2353,58.71,65,0,5.75,clear sky
25,Yankton,US,42.8711,-97.3973,78.12,83,0,12.66,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,48.63,86,9,4.63,clear sky
27,Qaanaaq,GL,77.484,-69.3632,42.08,79,42,5.55,scattered clouds
28,Cape Town,ZA,-33.9258,18.4232,55.11,93,75,4.61,broken clouds
29,Airai,TL,-8.9266,125.4092,65.5,78,76,3.91,broken clouds
30,Magaria,NE,12.9983,8.9099,80.49,59,84,6.08,broken clouds
31,Barrow,US,71.2906,-156.7887,46.42,76,40,9.22,scattered clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,71.55,88,93,1.99,overcast clouds
33,Yushu,CN,44.8,126.5333,78.58,65,49,10.16,scattered clouds
34,Amuntai,ID,-2.4177,115.2494,91.45,52,68,1.72,broken clouds
35,Vao,NC,-22.6667,167.4833,76.82,74,98,17.27,overcast clouds
36,La Rochelle,FR,46.1667,-1.15,68.07,68,0,13.8,clear sky
37,Busselton,AU,-33.65,115.3333,58.57,63,82,16.62,broken clouds
38,Kapaa,US,22.0752,-159.319,80.58,81,75,14.97,broken clouds
39,Norman Wells,CA,65.282,-126.8329,75.24,50,75,3.44,smoke
40,Eunice,US,30.4944,-92.4176,82.98,91,34,6.33,scattered clouds
41,Kodinsk,RU,58.6881,99.1844,66.27,66,100,3.49,overcast clouds
42,Mgandu,TZ,-5.95,34.1333,60.35,54,0,11.16,clear sky
43,Erenhot,CN,43.6475,111.9767,85.62,17,41,7.14,scattered clouds
44,San-Pedro,CI,4.7485,-6.6363,74.7,84,100,7.38,light rain
45,Saint George,US,37.1041,-113.5841,93.79,20,0,0.0,clear sky
46,Ushuaia,AR,-54.8,-68.3,31.66,80,75,20.71,light snow
47,Rikitea,PF,-23.1203,-134.9692,73.27,77,40,3.15,light rain
48,Carnarvon,AU,-24.8667,113.6333,67.6,68,100,16.69,overcast clouds
49,Daru,PG,-9.0763,143.2092,78.91,88,70,15.95,broken clouds
50,Buinsk,RU,54.95,48.2833,74.8,67,87,7.54,overcast clouds
51,Nikolskoye,RU,59.7035,30.7861,69.87,66,95,1.74,overcast clouds
52,Poronaysk,RU,49.2167,143.1167,61.72,84,82,11.21,broken clouds
53,Kodiak,US,57.79,-152.4072,53.11,87,100,13.8,light rain
54,Hobart,AU,-42.8794,147.3294,53.46,66,20,8.05,few clouds
55,Beringovskiy,RU,63.05,179.3167,49.3,93,100,4.23,light rain
56,Dalby,AU,-27.1833,151.2667,58.8,46,0,6.67,clear sky
